Infinitive,закрепи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закрепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закрепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,закреплю́сь
2nd Sing,закрепи́шься
3rd Sing,закрепи́тся
1st Pl,закрепи́мся
2nd Pl,закрепи́тесь
3rd Pl,закрепя́тся
Past M,закрепи́лся
Past F,закрепи́лась
Past N,закрепи́лось
Past PL,закрепи́лись
Imp S,закрепи́сь
Imp PL,закрепи́тесь
