Infinitive,завози́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,завози́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завози́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,завожу́сь
2nd Sing,заво́зишься
3rd Sing,заво́зится
1st Pl,заво́зимся
2nd Pl,заво́зитесь
3rd Pl,заво́зятся
Past M,завози́лся
Past F,завози́лась
Past N,завози́лось
Past PL,завози́лись
Imp S,завози́сь
Imp PL,завози́тесь
