Infinitive,запечатле́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запечатле́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запечатле́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запечатле́юсь
2nd Sing,запечатле́ешься
3rd Sing,запечатле́ется
1st Pl,запечатле́емся
2nd Pl,запечатле́етесь
3rd Pl,запечатле́ются
Past M,запечатле́лся
Past F,запечатле́лась
Past N,запечатле́лось
Past PL,запечатле́лись
Imp S,запечатле́йся
Imp PL,запечатле́йтесь
