Infinitive,застекли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,застекли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застеклённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застекли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,застекли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,застеклю́
2nd Sing,застекли́шь
3rd Sing,застекли́т
1st Pl,застекли́м
2nd Pl,застекли́те
3rd Pl,застекля́т
Past M,застекли́л
Past F,застекли́ла
Past N,застекли́ло
Past PL,застекли́ли
Imp S,застекли́
Imp PL,застекли́те
