Infinitive,захло́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,захло́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захло́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,захло́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,захло́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,захло́пну
2nd Sing,захло́пнешь
3rd Sing,захло́пнет
1st Pl,захло́пнем
2nd Pl,захло́пнете
3rd Pl,захло́пнут
Past M,захло́пнул
Past F,захло́пнула
Past N,захло́пнуло
Past PL,захло́пнули
Imp S,захло́пни
Imp PL,захло́пните
