Infinitive,застрели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,застрели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застре́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застрели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,застрели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,застрелю́
2nd Sing,застре́лишь
3rd Sing,застре́лит
1st Pl,застре́лим
2nd Pl,застре́лите
3rd Pl,застре́лят
Past M,застрели́л
Past F,застрели́ла
Past N,застрели́ло
Past PL,застрели́ли
Imp S,застрели́
Imp PL,застрели́те
