Infinitive,заблоки́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заблоки́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заблоки́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заблоки́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заблоки́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заблоки́рую
2nd Sing,заблоки́руешь
3rd Sing,заблоки́рует
1st Pl,заблоки́руем
2nd Pl,заблоки́руете
3rd Pl,заблоки́руют
Past M,заблоки́ровал
Past F,заблоки́ровала
Past N,заблоки́ровало
Past PL,заблоки́ровали
Imp S,заблоки́руй
Imp PL,заблоки́руйте
