Infinitive,затра́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затра́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затра́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затра́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затра́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затра́чу
2nd Sing,затра́тишь
3rd Sing,затра́тит
1st Pl,затра́тим
2nd Pl,затра́тите
3rd Pl,затра́тят
Past M,затра́тил
Past F,затра́тила
Past N,затра́тило
Past PL,затра́тили
Imp S,затра́ть
Imp PL,затра́тьте
