Infinitive,заже́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зажёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зажёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зажгу́
2nd Sing,зажжёшь
3rd Sing,зажжёт
1st Pl,зажжём
2nd Pl,зажжёте
3rd Pl,зажгу́т
Past M,зажёг
Past F,зажгла́
Past N,зажгло́
Past PL,зажгли́
Imp S,зажги́
Imp PL,зажги́те
