Infinitive,зарази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зарази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заражённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зарази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зарази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заражу́
2nd Sing,зарази́шь
3rd Sing,зарази́т
1st Pl,зарази́м
2nd Pl,зарази́те
3rd Pl,заразя́т
Past M,зарази́л
Past F,зарази́ла
Past N,зарази́ло
Past PL,зарази́ли
Imp S,зарази́
Imp PL,зарази́те
