Infinitive,заигра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заигра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заи́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заигра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заигра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заигра́ю
2nd Sing,заигра́ешь
3rd Sing,заигра́ет
1st Pl,заигра́ем
2nd Pl,заигра́ете
3rd Pl,заигра́ют
Past M,заигра́л
Past F,заигра́ла
Past N,заигра́ло
Past PL,заигра́ли
Imp S,заигра́й
Imp PL,заигра́йте
