Infinitive,заворча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заворча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заворча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заворча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заворчу́
2nd Sing,заворчи́шь
3rd Sing,заворчи́т
1st Pl,заворчи́м
2nd Pl,заворчи́те
3rd Pl,заворча́т
Past M,заворча́л
Past F,заворча́ла
Past N,заворча́ло
Past PL,заворча́ли
Imp S,заворчи́
Imp PL,заворчи́те
