Infinitive,замолка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замолка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,замолка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замолка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,замолка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,замолка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,замолка́ю
2nd Sing,замолка́ешь
3rd Sing,замолка́ет
1st Pl,замолка́ем
2nd Pl,замолка́ете
3rd Pl,замолка́ют
Past M,замолка́л
Past F,замолка́ла
Past N,замолка́ло
Past PL,замолка́ли
Imp S,замолка́й
Imp PL,замолка́йте
