Infinitive,захорони́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,захорони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захоро́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,захорони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,захорони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,захороню́
2nd Sing,захоро́нишь
3rd Sing,захоро́нит
1st Pl,захоро́ним
2nd Pl,захоро́ните
3rd Pl,захоро́нят
Past M,захорони́л
Past F,захорони́ла
Past N,захорони́ло
Past PL,захорони́ли
Imp S,захорони́
Imp PL,захорони́те
