Infinitive,замини́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замини́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замини́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замини́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замини́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замини́рую
2nd Sing,замини́руешь
3rd Sing,замини́рует
1st Pl,замини́руем
2nd Pl,замини́руете
3rd Pl,замини́руют
Past M,замини́ровал
Past F,замини́ровала
Past N,замини́ровало
Past PL,замини́ровали
Imp S,замини́руй
Imp PL,замини́руйте
