Infinitive,закуси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закуси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заку́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закуси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закуси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закушу́
2nd Sing,заку́сишь
3rd Sing,заку́сит
1st Pl,заку́сим
2nd Pl,заку́сите
3rd Pl,заку́сят
Past M,закуси́л
Past F,закуси́ла
Past N,закуси́ло
Past PL,закуси́ли
Imp S,закуси́
Imp PL,закуси́те
