Infinitive,заверте́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заверте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заве́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заверте́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заверте́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заверчу́
2nd Sing,заве́ртишь
3rd Sing,заве́ртит
1st Pl,заве́ртим
2nd Pl,заве́ртите
3rd Pl,заве́ртят
Past M,заверте́л
Past F,заверте́ла
Past N,заверте́ло
Past PL,заверте́ли
Imp S,заверти́
Imp PL,заверти́те
