Infinitive,зашата́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зашата́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашата́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зашата́юсь
2nd Sing,зашата́ешься
3rd Sing,зашата́ется
1st Pl,зашата́емся
2nd Pl,зашата́етесь
3rd Pl,зашата́ются
Past M,зашата́лся
Past F,зашата́лась
Past N,зашата́лось
Past PL,зашата́лись
Imp S,зашата́йся
Imp PL,зашата́йтесь
