Infinitive,зате́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,затёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затёкши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затеку́
2nd Sing,затечёшь
3rd Sing,затечёт
1st Pl,затечём
2nd Pl,затечёте
3rd Pl,затеку́т
Past M,затёк
Past F,затекла́
Past N,затекло́
Past PL,затекли́
Imp S,затеки́
Imp PL,затеки́те
