Infinitive,запо́мниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запо́мнившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запо́мнившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запо́мнюсь
2nd Sing,запо́мнишься
3rd Sing,запо́мнится
1st Pl,запо́мнимся
2nd Pl,запо́мнитесь
3rd Pl,запо́мнятся
Past M,запо́мнился
Past F,запо́мнилась
Past N,запо́мнилось
Past PL,запо́мнились
Imp S,запо́мнись
Imp PL,запо́мнитесь
