Infinitive,затра́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затра́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,затра́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затра́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,затра́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,затра́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,затра́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,затра́гиваю
2nd Sing,затра́гиваешь
3rd Sing,затра́гивает
1st Pl,затра́гиваем
2nd Pl,затра́гиваете
3rd Pl,затра́гивают
Past M,затра́гивал
Past F,затра́гивала
Past N,затра́гивало
Past PL,затра́гивали
Imp S,затра́гивай
Imp PL,затра́гивайте
