Infinitive,зачита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зачита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зачи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зачита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зачита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зачита́ю
2nd Sing,зачита́ешь
3rd Sing,зачита́ет
1st Pl,зачита́ем
2nd Pl,зачита́ете
3rd Pl,зачита́ют
Past M,зачита́л
Past F,зачита́ла
Past N,зачита́ло
Past PL,зачита́ли
Imp S,зачита́й
Imp PL,зачита́йте
