Infinitive,запе́ть
Zaliznyak Class,12b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запе́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запе́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запе́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запою́
2nd Sing,запоёшь
3rd Sing,запоёт
1st Pl,запоём
2nd Pl,запоёте
3rd Pl,запою́т
Past M,запе́л
Past F,запе́ла
Past N,запе́ло
Past PL,запе́ли
Imp S,запо́й
Imp PL,запо́йте
