Infinitive,заверша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заверша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заверша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заверша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заверша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заверша́юсь
2nd Sing,заверша́ешься
3rd Sing,заверша́ется
1st Pl,заверша́емся
2nd Pl,заверша́етесь
3rd Pl,заверша́ются
Past M,заверша́лся
Past F,заверша́лась
Past N,заверша́лось
Past PL,заверша́лись
Imp S,заверша́йся
Imp PL,заверша́йтесь
