Infinitive,зави́деть
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зави́девший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зави́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зави́дев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зави́девши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зави́жу
2nd Sing,зави́дишь
3rd Sing,зави́дит
1st Pl,зави́дим
2nd Pl,зави́дите
3rd Pl,зави́дят
Past M,зави́дел
Past F,зави́дела
Past N,зави́дело
Past PL,зави́дели
Imp S,зави́дь
Imp PL,зави́дьте
