Infinitive,зачерпну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зачерпну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заче́рпнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зачерпну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зачерпну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зачерпну́
2nd Sing,зачерпнёшь
3rd Sing,зачерпнёт
1st Pl,зачерпнём
2nd Pl,зачерпнёте
3rd Pl,зачерпну́т
Past M,зачерпну́л
Past F,зачерпну́ла
Past N,зачерпну́ло
Past PL,зачерпну́ли
Imp S,зачерпни́
Imp PL,зачерпни́те
