Infinitive,зазнава́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зазнава́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зазнава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зазнава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зазнава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зазнава́юсь
2nd Sing,зазнава́ешься
3rd Sing,зазнава́ется
1st Pl,зазнава́емся
2nd Pl,зазнава́етесь
3rd Pl,зазнава́ются
Past M,зазнава́лся
Past F,зазнава́лась
Past N,зазнава́лось
Past PL,зазнава́лись
Imp S,зазнава́йся
Imp PL,зазнава́йтесь
