Infinitive,запозда́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запозда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запозда́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запозда́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запозда́ю
2nd Sing,запозда́ешь
3rd Sing,запозда́ет
1st Pl,запозда́ем
2nd Pl,запозда́ете
3rd Pl,запозда́ют
Past M,запозда́л
Past F,запозда́ла
Past N,запозда́ло
Past PL,запозда́ли
Imp S,запозда́й
Imp PL,запозда́йте
