Infinitive,залеза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,залеза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,залеза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,залеза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,залеза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,залеза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,залеза́ю
2nd Sing,залеза́ешь
3rd Sing,залеза́ет
1st Pl,залеза́ем
2nd Pl,залеза́ете
3rd Pl,залеза́ют
Past M,залеза́л
Past F,залеза́ла
Past N,залеза́ло
Past PL,залеза́ли
Imp S,залеза́й
Imp PL,залеза́йте
