Infinitive,засу́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засу́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засу́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засу́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засу́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засу́ну
2nd Sing,засу́нешь
3rd Sing,засу́нет
1st Pl,засу́нем
2nd Pl,засу́нете
3rd Pl,засу́нут
Past M,засу́нул
Past F,засу́нула
Past N,засу́нуло
Past PL,засу́нули
Imp S,засу́нь
Imp PL,засу́ньте
