Infinitive,запры́гнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запры́гнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запры́гнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запры́гнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запры́гну
2nd Sing,запры́гнешь
3rd Sing,запры́гнет
1st Pl,запры́гнем
2nd Pl,запры́гнете
3rd Pl,запры́гнут
Past M,запры́гнул
Past F,запры́гнула
Past N,запры́гнуло
Past PL,запры́гнули
Imp S,запры́гни
Imp PL,запры́гните
