Infinitive,закры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,закро́юсь
2nd Sing,закро́ешься
3rd Sing,закро́ется
1st Pl,закро́емся
2nd Pl,закро́етесь
3rd Pl,закро́ются
Past M,закры́лся
Past F,закры́лась
Past N,закры́лось
Past PL,закры́лись
Imp S,закро́йся
Imp PL,закро́йтесь
