Infinitive,захны́кать
Zaliznyak Class,6a // 1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,захны́кавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захны́кав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,захны́кавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,захны́чу
2nd Sing,захны́чешь
3rd Sing,захны́чет
1st Pl,захны́чем
2nd Pl,захны́чете
3rd Pl,захны́чут
Past M,захны́кал
Past F,захны́кала
Past N,захны́кало
Past PL,захны́кали
Imp S,захны́чь
Imp PL,захны́чьте
