Infinitive,заторопи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заторопи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заторопи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затороплю́сь
2nd Sing,заторо́пишься
3rd Sing,заторо́пится
1st Pl,заторо́пимся
2nd Pl,заторо́питесь
3rd Pl,заторо́пятся
Past M,заторопи́лся
Past F,заторопи́лась
Past N,заторопи́лось
Past PL,заторопи́лись
Imp S,заторопи́сь
Imp PL,заторопи́тесь
