Infinitive,заи́мствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заи́мствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заи́мствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заи́мствуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заи́мствованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,заи́мствуя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,заи́мствовав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,заи́мствовавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,заи́мствую
2nd Sing,заи́мствуешь
3rd Sing,заи́мствует
1st Pl,заи́мствуем
2nd Pl,заи́мствуете
3rd Pl,заи́мствуют
Past M,заи́мствовал
Past F,заи́мствовала
Past N,заи́мствовало
Past PL,заи́мствовали
Imp S,заи́мствуй
Imp PL,заи́мствуйте
