Infinitive,завы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,завы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,завы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заво́ю
2nd Sing,заво́ешь
3rd Sing,заво́ет
1st Pl,заво́ем
2nd Pl,заво́ете
3rd Pl,заво́ют
Past M,завы́л
Past F,завы́ла
Past N,завы́ло
Past PL,завы́ли
Imp S,заво́й
Imp PL,заво́йте
