Infinitive,завоева́ть
Zaliznyak Class,2a(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завоева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завоёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завоева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,завоева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завою́ю
2nd Sing,завою́ешь
3rd Sing,завою́ет
1st Pl,завою́ем
2nd Pl,завою́ете
3rd Pl,завою́ют
Past M,завоева́л
Past F,завоева́ла
Past N,завоева́ло
Past PL,завоева́ли
Imp S,завою́й
Imp PL,завою́йте
