Infinitive,запа́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запа́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,запа́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запа́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запа́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запа́хну
2nd Sing,запа́хнешь
3rd Sing,запа́хнет
1st Pl,запа́хнем
2nd Pl,запа́хнете
3rd Pl,запа́хнут
Past M,запа́х
Past F,запа́хла
Past N,запа́хло
Past PL,запа́хли
Imp S,запа́хни
Imp PL,запа́хните
