Infinitive,заслу́шаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заслу́шавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заслу́шавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заслу́шаюсь
2nd Sing,заслу́шаешься
3rd Sing,заслу́шается
1st Pl,заслу́шаемся
2nd Pl,заслу́шаетесь
3rd Pl,заслу́шаются
Past M,заслу́шался
Past F,заслу́шалась
Past N,заслу́шалось
Past PL,заслу́шались
Imp S,заслу́шайся
Imp PL,заслу́шайтесь
