Infinitive,завя́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,завя́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,завя́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завя́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,завя́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завя́зываюсь
2nd Sing,завя́зываешься
3rd Sing,завя́зывается
1st Pl,завя́зываемся
2nd Pl,завя́зываетесь
3rd Pl,завя́зываются
Past M,завя́зывался
Past F,завя́зывалась
Past N,завя́зывалось
Past PL,завя́зывались
Imp S,завя́зывайся
Imp PL,завя́зывайтесь
