Infinitive,запере́ться
Zaliznyak Class,9b/c''①
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,за́першийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заперши́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запру́сь
2nd Sing,запрёшься
3rd Sing,запрётся
1st Pl,запрёмся
2nd Pl,запрётесь
3rd Pl,запру́тся
Past M,заперся́
Past F,заперла́сь
Past N,заперло́сь
Past PL,заперли́сь
Imp S,запри́сь
Imp PL,запри́тесь
