Infinitive,запротестова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запротестова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запротестова́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запротестова́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запротесту́ю
2nd Sing,запротесту́ешь
3rd Sing,запротесту́ет
1st Pl,запротесту́ем
2nd Pl,запротесту́ете
3rd Pl,запротесту́ют
Past M,запротестова́л
Past F,запротестова́ла
Past N,запротестова́ло
Past PL,запротестова́ли
Imp S,запротесту́й
Imp PL,запротесту́йте
