Infinitive,засвети́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,засвети́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засвети́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,засвечу́сь
2nd Sing,засве́тишься
3rd Sing,засве́тится
1st Pl,засве́тимся
2nd Pl,засве́титесь
3rd Pl,засве́тятся
Past M,засвети́лся
Past F,засвети́лась
Past N,засвети́лось
Past PL,засвети́лись
Imp S,засвети́сь
Imp PL,засвети́тесь
