Infinitive,заикну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заикну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заикну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заикну́сь
2nd Sing,заикнёшься
3rd Sing,заикнётся
1st Pl,заикнёмся
2nd Pl,заикнётесь
3rd Pl,заикну́тся
Past M,заикну́лся
Past F,заикну́лась
Past N,заикну́лось
Past PL,заикну́лись
Imp S,заикни́сь
Imp PL,заикни́тесь
