Infinitive,запе́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запеку́
2nd Sing,запечёшь
3rd Sing,запечёт
1st Pl,запечём
2nd Pl,запечёте
3rd Pl,запеку́т
Past M,запёк
Past F,запекла́
Past N,запекло́
Past PL,запекли́
Imp S,запеки́
Imp PL,запеки́те
