Infinitive,затева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,затева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,затева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затева́юсь
2nd Sing,затева́ешься
3rd Sing,затева́ется
1st Pl,затева́емся
2nd Pl,затева́етесь
3rd Pl,затева́ются
Past M,затева́лся
Past F,затева́лась
Past N,затева́лось
Past PL,затева́лись
Imp S,затева́йся
Imp PL,затева́йтесь
