Infinitive,зажи́ть
Zaliznyak Class,16b/c[①]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зажи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зажи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заживу́
2nd Sing,заживёшь
3rd Sing,заживёт
1st Pl,заживём
2nd Pl,заживёте
3rd Pl,заживу́т
Past M,за́жил
Past F,зажила́
Past N,за́жило
Past PL,за́жили
Imp S,заживи́
Imp PL,заживи́те
