Infinitive,зааплоди́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зааплоди́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зааплоди́ровав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зааплоди́ровавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зааплоди́рую
2nd Sing,зааплоди́руешь
3rd Sing,зааплоди́рует
1st Pl,зааплоди́руем
2nd Pl,зааплоди́руете
3rd Pl,зааплоди́руют
Past M,зааплоди́ровал
Past F,зааплоди́ровала
Past N,зааплоди́ровало
Past PL,зааплоди́ровали
Imp S,зааплоди́руй
Imp PL,зааплоди́руйте
