Infinitive,запали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запалю́
2nd Sing,запали́шь
3rd Sing,запали́т
1st Pl,запали́м
2nd Pl,запали́те
3rd Pl,запаля́т
Past M,запали́л
Past F,запали́ла
Past N,запали́ло
Past PL,запали́ли
Imp S,запали́
Imp PL,запали́те
