Infinitive,заду́мываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заду́мывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заду́мывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заду́мываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заду́мывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заду́мываюсь
2nd Sing,заду́мываешься
3rd Sing,заду́мывается
1st Pl,заду́мываемся
2nd Pl,заду́мываетесь
3rd Pl,заду́мываются
Past M,заду́мывался
Past F,заду́мывалась
Past N,заду́мывалось
Past PL,заду́мывались
Imp S,заду́мывайся
Imp PL,заду́мывайтесь
