Infinitive,задуши́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заду́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задушу́
2nd Sing,заду́шишь
3rd Sing,заду́шит
1st Pl,заду́шим
2nd Pl,заду́шите
3rd Pl,заду́шат
Past M,задуши́л
Past F,задуши́ла
Past N,задуши́ло
Past PL,задуши́ли
Imp S,задуши́
Imp PL,задуши́те
