Infinitive,засоса́ть
Zaliznyak Class,6°b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засоса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засо́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засоса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засоса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засосу́
2nd Sing,засосёшь
3rd Sing,засосёт
1st Pl,засосём
2nd Pl,засосёте
3rd Pl,засосу́т
Past M,засоса́л
Past F,засоса́ла
Past N,засоса́ло
Past PL,засоса́ли
Imp S,засоси́
Imp PL,засоси́те
