Infinitive,захрипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,захрипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захрипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,захрипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,захриплю́
2nd Sing,захрипи́шь
3rd Sing,захрипи́т
1st Pl,захрипи́м
2nd Pl,захрипи́те
3rd Pl,захрипя́т
Past M,захрипе́л
Past F,захрипе́ла
Past N,захрипе́ло
Past PL,захрипе́ли
Imp S,захрипи́
Imp PL,захрипи́те
