Infinitive,застоя́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,застоя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застоя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,застою́сь
2nd Sing,застои́шься
3rd Sing,застои́тся
1st Pl,застои́мся
2nd Pl,застои́тесь
3rd Pl,застоя́тся
Past M,застоя́лся
Past F,застоя́лась
Past N,застоя́лось
Past PL,застоя́лись
Imp S,—
Imp PL,—
