Infinitive,засади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засажу́
2nd Sing,заса́дишь
3rd Sing,заса́дит
1st Pl,заса́дим
2nd Pl,заса́дите
3rd Pl,заса́дят
Past M,засади́л
Past F,засади́ла
Past N,засади́ло
Past PL,засади́ли
Imp S,засади́
Imp PL,засади́те
