Infinitive,зашуме́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зашуме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашуме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зашуме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зашумлю́
2nd Sing,зашуми́шь
3rd Sing,зашуми́т
1st Pl,зашуми́м
2nd Pl,зашуми́те
3rd Pl,зашумя́т
Past M,зашуме́л
Past F,зашуме́ла
Past N,зашуме́ло
Past PL,зашуме́ли
Imp S,зашуми́
Imp PL,зашуми́те
