Infinitive,зала́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зала́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зала́яв
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зала́явши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зала́ю
2nd Sing,зала́ешь
3rd Sing,зала́ет
1st Pl,зала́ем
2nd Pl,зала́ете
3rd Pl,зала́ют
Past M,зала́ял
Past F,зала́яла
Past N,зала́яло
Past PL,зала́яли
Imp S,зала́й
Imp PL,зала́йте
