Infinitive,заража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заража́юсь
2nd Sing,заража́ешься
3rd Sing,заража́ется
1st Pl,заража́емся
2nd Pl,заража́етесь
3rd Pl,заража́ются
Past M,заража́лся
Past F,заража́лась
Past N,заража́лось
Past PL,заража́лись
Imp S,заража́йся
Imp PL,заража́йтесь
