Infinitive,запруди́ть
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запруди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запру́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запружённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,запруди́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,запруди́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,запружу́
2nd Sing,запру́дишь
3rd Sing,запру́дит
1st Pl,запру́дим
2nd Pl,запру́дите
3rd Pl,запру́дят
Past M,запруди́л
Past F,запруди́ла
Past N,запруди́ло
Past PL,запруди́ли
Imp S,запруди́
Imp PL,запруди́те
