Infinitive,засуши́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засу́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засушу́
2nd Sing,засу́шишь
3rd Sing,засу́шит
1st Pl,засу́шим
2nd Pl,засу́шите
3rd Pl,засу́шат
Past M,засуши́л
Past F,засуши́ла
Past N,засуши́ло
Past PL,засуши́ли
Imp S,засуши́
Imp PL,засуши́те
