Infinitive,зашиби́ть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зашиби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заши́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зашиби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зашиби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зашибу́
2nd Sing,зашибёшь
3rd Sing,зашибёт
1st Pl,зашибём
2nd Pl,зашибёте
3rd Pl,зашибу́т
Past M,заши́б
Past F,заши́бла
Past N,заши́бло
Past PL,заши́бли
Imp S,зашиби́
Imp PL,зашиби́те
