Infinitive,замелька́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замелька́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замелька́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,замелька́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,замелька́ю
2nd Sing,замелька́ешь
3rd Sing,замелька́ет
1st Pl,замелька́ем
2nd Pl,замелька́ете
3rd Pl,замелька́ют
Past M,замелька́л
Past F,замелька́ла
Past N,замелька́ло
Past PL,замелька́ли
Imp S,замелька́й
Imp PL,замелька́йте
