Infinitive,запыли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запыли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запылённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запыли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запыли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запылю́
2nd Sing,запыли́шь
3rd Sing,запыли́т
1st Pl,запыли́м
2nd Pl,запыли́те
3rd Pl,запыля́т
Past M,запыли́л
Past F,запыли́ла
Past N,запыли́ло
Past PL,запыли́ли
Imp S,запыли́
Imp PL,запыли́те
