Infinitive,заблесте́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заблесте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заблесте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заблесте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заблещу́
2nd Sing,заблести́шь
3rd Sing,заблести́т
1st Pl,заблести́м
2nd Pl,заблести́те
3rd Pl,заблестя́т
Past M,заблесте́л
Past F,заблесте́ла
Past N,заблесте́ло
Past PL,заблесте́ли
Imp S,заблести́
Imp PL,заблести́те
